player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Maddux Madsen,163379,QB,BOISE ST,14,59,14,1,6.6,18,0,45,0,0,5,34,20.2,9,21,120,2,1,74.6,74.3,90.0,70.7,,,67.7,60.1,49,1,0,0,0,480,226,30,0,29,5,271,178,3.02,4.6,,5
Alex Orji,158545,QB,MICHIGAN,11,58,17,4,33.6,99,0,248,0,0,11,175,87.1,11,19,222,3,35,47.6,59.2,82.1,39.4,62.2,55.8,70.3,60.1,29,0,0,0,2,157,47,11,1,47,1,295,220,3.79,5.1,0.0,5
Ethan Garbers,131896,QB,UCLA,11,57,10,0,0.0,0,0,16,0,0,1,22,6.1,9,19,324,9,2,42.7,69.1,78.6,68.3,,,60.7,60.1,57,2,0,0,0,239,325,38,0,19,1,341,272,4.77,6.0,,5
Braxton Woodson,175276,QB,NAVY,9,55,13,2,38.7,65,0,129,0,0,9,98,33.9,5,12,237,3,22,46.1,58.5,49.8,56.0,,,60.7,60.0,38,1,0,0,0,118,39,4,0,51,3,168,140,2.55,3.1,,12
Joey Aguilar,174978,QB,APP STATE,11,55,15,2,19.0,64,0,117,0,0,5,53,33.8,14,24,108,4,2,62.6,71.9,80.5,66.8,,60.0,75.9,60.0,49,3,0,0,1,347,219,27,0,28,2,336,205,3.73,6.1,0.0,13
Justin Lamson,144052,QB,STANFORD,12,55,5,0,0.0,0,0,127,0,0,4,68,11.3,2,26,300,3,44,34.6,65.1,80.8,58.2,,54.8,66.8,60.3,12,0,0,0,4,90,29,6,0,49,8,156,108,1.96,2.8,0.0,3
Michael Hawkins Jr.,184595,QB,OKLAHOMA,7,55,20,1,6.9,20,1,122,0,0,9,87,81.5,12,15,261,5,8,33.5,61.9,83.5,61.5,,,59.5,60.0,48,1,0,0,0,119,166,24,0,31,1,288,220,4.0,5.2,,12
Byrum Brown,156206,QB,USF,6,54,15,4,26.4,94,0,252,0,0,12,170,137.7,13,16,327,2,16,66.0,67.0,84.0,61.5,,78.4,67.2,60.1,42,1,12,1,2,142,104,16,1,39,3,356,238,4.41,6.6,6.0,11
Ty Thompson,146568,QB,TULANE,12,53,7,2,25.8,67,0,238,0,0,5,148,30.8,7,21,319,1,33,64.0,65.8,81.1,43.0,,53.9,76.9,60.1,50,0,0,0,4,110,22,4,0,49,6,260,158,2.98,4.9,0.0,8
Fernando Mendoza,158323,QB,CAL,11,52,8,2,12.3,41,0,90,0,0,0,22,0.0,12,21,130,3,12,62.3,77.4,71.5,75.7,,54.1,66.3,60.2,50,4,9,0,1,262,244,28,0,24,2,334,156,3.0,6.4,9.0,2
Tahj Bullock,144070,QB,AKRON,12,52,9,1,9.1,15,0,153,3,1,9,87,28.0,2,18,102,4,20,32.5,70.8,84.1,70.3,,54.4,73.0,61.2,15,0,63,10,47,110,12,1,16,61,8,165,104,2.0,3.2,1.34,22
Chandler Morris,122938,QB,N TEXAS,12,52,13,3,18.4,54,0,54,0,0,7,36,57.1,11,15,251,2,3,76.1,78.9,89.7,75.8,,55.9,69.4,60.2,49,0,0,0,1,286,240,31,0,21,4,294,117,2.25,5.7,0.0,4
Kyle McCord,145053,QB,SYRACUSE,13,51,2,1,18.7,29,0,34,0,0,0,13,0.0,5,23,304,6,1,58.6,90.5,83.7,87.5,,56.0,77.4,60.8,29,1,0,0,2,351,121,15,0,36,3,155,81,1.59,3.0,0.0,1
