player,player_id,position,team_name,player_game_count,avg_time_to_throw,less_attempts,less_completion_percent,less_accuracy_percent,less_ypa,less_big_time_throws,less_btt_rate,less_turnover_worthy_plays,less_twp_rate,less_interceptions,less_touchdowns,less_avg_depth_of_target,less_avg_time_to_throw,less_def_gen_pressures,less_pressure_to_sack_rate,less_sack_percent,less_qb_rating,more_attempts,more_completion_percent,more_accuracy_percent,more_ypa,more_big_time_throws,more_btt_rate,more_turnover_worthy_plays,more_twp_rate,more_interceptions,more_touchdowns,more_avg_depth_of_target,more_avg_time_to_throw,more_def_gen_pressures,more_pressure_to_sack_rate,more_sack_percent,more_qb_rating
Kurtis Rourke,97998,QB,INDIANA,12,2.56,203,76.8,81.4,8.6,7,3.3,4,1.8,2,16,7.1,1.89,18,33.3,2.9,124.3,118,55.9,61.8,10.9,12,9.5,6,3.8,3,13,16.4,3.51,57,24.6,9.4,120.3
Evan Simon,129906,QB,TEMPLE,9,2.8,178,67.4,79.4,6.0,3,1.6,1,0.5,4,7,4.8,1.86,55,10.9,3.3,87.2,129,45.7,61.2,7.1,9,6.4,10,5.3,5,8,12.3,3.78,112,17.9,11.4,74.5
Jalen Kitna,146688,QB,UAB,8,2.81,155,72.9,82.2,6.4,1,0.6,4,2.5,2,8,3.4,1.8,25,8.0,1.3,101.3,162,51.2,60.1,7.5,13,7.8,18,8.8,9,9,13.3,3.65,90,21.1,9.6,71.5
Gio Lopez,172309,QB,S ALABAMA,11,2.84,164,78.7,84.7,7.7,5,3.0,1,0.6,1,6,3.9,1.82,32,6.3,1.2,108.3,147,51.7,60.7,8.8,13,8.2,12,5.8,4,11,15.4,3.74,88,14.8,6.8,95.5
Evan Bullock,170452,QB,LA TECH,11,2.66,161,68.3,76.1,6.4,1,0.6,8,4.7,3,7,6.1,1.86,28,28.6,4.7,92.5,139,62.6,75.6,7.6,5,3.5,4,2.1,0,7,9.6,3.47,80,35.0,15.4,102.8
Eric Phoenix,177526,QB,SCAR STATE,11,2.68,201,70.1,77.8,8.7,6,2.9,3,1.4,4,15,5.8,1.77,15,13.3,1.0,113.3,98,48.0,54.3,9.3,8,7.3,5,3.0,4,5,16.3,3.91,72,23.6,11.3,80.8
Parker Navarro,123758,QB,OHIO,13,2.88,162,74.7,81.4,8.2,6,3.6,6,3.5,2,5,7.2,2.0,19,21.1,2.4,103.7,134,55.2,62.7,8.2,8,5.5,11,5.6,9,8,13.9,3.68,82,15.9,7.0,74.0
Tommy Mellott,147646,QB,MONTANA ST,16,2.66,172,75.0,83.6,8.2,5,2.9,2,1.1,1,13,4.9,1.87,20,5.0,0.6,121.6,129,56.6,72.4,10.6,17,12.6,5,2.7,1,18,15.2,3.45,72,12.5,5.0,129.6
Alan Bowman,77679,QB,OKLA STATE,11,2.36,212,66.0,69.7,6.8,6,2.6,6,2.6,6,14,7.3,1.78,12,0.0,0.0,95.8,129,49.6,58.6,7.7,5,3.6,7,4.8,6,3,11.9,3.32,44,15.9,5.1,63.9
Diego Pavia,156927,QB,VANDERBILT,13,2.98,144,64.6,74.4,6.9,6,4.0,2,1.3,2,9,7.3,1.92,30,6.7,1.4,99.7,155,54.2,67.7,8.4,13,7.5,3,1.3,2,11,13.0,3.77,119,10.9,6.4,100.4
Joe Pesansky,149434,QB,HOLY CROSS,12,2.96,165,70.9,77.6,7.0,6,3.5,1,0.6,1,10,7.7,1.82,24,12.5,1.8,108.0,131,45.8,52.0,9.5,16,11.4,11,5.6,5,9,19.8,4.02,100,12.0,6.6,87.0
Spencer Petras,82136,QB,UTAH ST,9,2.55,174,77.6,87.6,6.9,1,0.5,3,1.6,2,9,4.1,1.79,8,12.5,0.6,107.8,152,52.0,62.0,7.3,7,4.2,10,5.3,9,8,13.4,3.34,67,16.4,6.3,68.9
Eli Holstein,172381,QB,PITTSBURGH,10,2.91,147,69.4,77.5,5.9,4,2.7,4,2.6,2,7,5.2,1.78,13,7.7,0.7,94.7,143,53.8,60.9,9.5,8,5.0,16,7.4,5,10,13.9,3.84,107,18.7,10.2,95.3
Hayden Wolff,98362,QB,W MICHIGAN,13,2.85,120,77.5,87.0,6.2,3,2.4,3,2.3,0,9,4.6,1.88,18,33.3,4.8,117.6,196,59.7,69.3,8.5,7,3.4,8,3.4,8,9,11.0,3.4,84,19.0,7.2,85.7
Keyone Jenkins,170403,QB,FIU,12,2.65,179,67.0,75.0,7.5,6,3.2,7,3.6,5,9,7.7,1.89,25,16.0,2.2,94.4,125,54.4,68.5,9.7,13,9.3,8,4.5,3,13,15.3,3.56,84,15.5,8.0,112.6
Elijah Owens,171426,QB,INDIANA ST,11,3.28,130,73.8,79.4,5.8,3,2.2,2,1.4,3,6,4.2,1.8,19,10.5,1.5,93.4,137,62.0,76.3,7.1,6,4.2,8,3.6,2,6,10.1,4.18,122,23.0,13.0,91.8
Anthony Chiccitt,141376,QB,ROB MORRIS,11,2.54,182,73.1,78.8,7.5,3,1.6,4,2.1,4,8,4.1,1.79,26,15.4,2.1,99.6,122,52.5,69.5,7.3,10,7.6,3,1.8,3,6,10.9,3.45,86,16.3,8.9,82.2
