player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_attempts,blitz_completion_percent,blitz_accuracy_percent,blitz_ypa,blitz_big_time_throws,blitz_btt_rate,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_interceptions,blitz_touchdowns,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_def_gen_pressures,blitz_pressure_to_sack_rate,blitz_sack_percent,blitz_qb_rating,no_blitz_attempts,no_blitz_completion_percent,no_blitz_accuracy_percent,no_blitz_ypa,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_interceptions,no_blitz_touchdowns,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_def_gen_pressures,no_blitz_pressure_to_sack_rate,no_blitz_sack_percent,no_blitz_qb_rating,pressure_attempts,pressure_completion_percent,pressure_accuracy_percent,pressure_ypa,pressure_big_time_throws,pressure_btt_rate,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_interceptions,pressure_touchdowns,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_def_gen_pressures,pressure_pressure_to_sack_rate,pressure_sack_percent,pressure_qb_rating,no_pressure_attempts,no_pressure_completion_percent,no_pressure_accuracy_percent,no_pressure_ypa,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_interceptions,no_pressure_touchdowns,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_def_gen_pressures,no_pressure_pressure_to_sack_rate,no_pressure_sack_percent,no_pressure_qb_rating
Chandler Fields,97286,QB,LA LAFAYET,7,104,41,70.7,81.1,10.6,3,7.0,1,2.0,1,3,9.5,2.9,13,15.4,4.3,119.3,47,72.3,75.6,9.9,4,8.2,0,0.0,0,2,11.0,3.12,10,20.0,3.5,117.6,13,53.8,70.0,10.3,2,14.3,0,0.0,0,2,10.8,4.38,23,17.4,17.4,129.5,75,74.7,79.2,10.2,5,6.4,1,1.2,1,3,10.3,2.63,0,,0.0,114.4
Ryan Browne,174949,QB,PURDUE,8,102,32,56.3,65.5,7.8,0,0.0,1,2.1,0,1,8.4,3.46,21,23.8,11.1,92.1,44,56.8,68.3,6.4,4,8.5,4,6.7,2,3,9.5,3.79,27,18.5,8.8,79.7,29,44.8,62.5,4.4,3,10.0,3,6.0,1,1,8.4,4.54,48,20.8,20.8,55.0,47,63.8,69.6,8.6,1,2.0,2,3.5,1,3,9.4,2.84,0,,0.0,103.4
Arch Manning,173162,QB,TEXAS,7,101,33,66.7,75.9,10.6,2,5.9,0,0.0,0,5,12.7,2.4,8,12.5,2.8,141.4,57,68.4,76.8,10.3,4,6.7,2,2.9,2,4,10.3,2.93,18,33.3,9.2,110.9,16,43.8,53.8,10.0,1,5.9,2,6.9,1,3,16.2,3.83,26,26.9,26.9,93.8,74,73.0,80.6,10.5,5,6.5,0,0.0,1,6,10.2,2.36,0,,0.0,128.2
John Busha,173849,QB,AIR FORCE,6,94,27,33.3,54.2,2.5,0,0.0,2,6.1,3,0,10.6,2.92,15,13.3,6.5,2.8,53,37.7,50.0,6.5,4,7.4,3,4.7,2,1,17.0,3.11,23,21.7,7.9,51.0,28,17.9,36.4,4.5,2,6.7,2,5.0,3,0,18.4,3.72,38,18.4,18.4,6.3,52,46.2,58.0,5.5,2,3.8,3,5.3,2,1,13.3,2.6,0,,0.0,53.7
Grayson McCall,98002,QB,NC STATE,4,94,44,70.5,88.1,7.4,1,2.1,2,3.6,1,2,6.7,2.56,12,25.0,5.9,97.3,36,61.1,62.9,5.3,0,0.0,1,2.2,1,1,10.9,3.0,13,7.7,2.3,72.9,16,50.0,66.7,7.6,1,5.6,1,3.7,0,0,13.7,3.66,25,16.0,16.0,75.5,64,70.3,79.0,6.2,0,0.0,2,2.7,2,3,7.4,2.44,0,,0.0,89.1
Devin Kargman,156913,QB,KENT STATE,4,92,36,55.6,60.6,5.6,1,2.5,1,2.2,2,1,9.1,2.25,16,31.3,11.9,57.6,47,53.2,61.4,5.0,2,4.1,2,3.8,0,2,9.6,2.55,16,12.5,4.0,81.4,24,33.3,42.1,4.5,2,8.0,3,9.1,1,2,15.6,2.87,32,21.9,21.9,59.2,59,62.7,67.2,5.5,1,1.6,0,0.0,1,1,7.3,2.17,0,,0.0,76.0
Bishop Davenport,163426,QB,S ALABAMA,6,92,18,66.7,86.7,12.2,1,5.6,0,0.0,0,1,5.3,2.88,9,11.1,4.8,127.1,62,58.1,68.3,6.2,1,1.5,3,3.9,1,2,8.5,2.58,20,5.0,1.4,80.3,24,41.7,60.0,5.1,0,0.0,2,6.5,1,0,4.5,2.97,29,6.9,6.9,40.6,56,67.9,76.4,8.6,2,3.4,1,1.5,0,3,9.1,2.5,0,,0.0,112.4
Drew Pyne,122910,QB,MISSOURI,6,90,19,47.4,66.7,3.1,0,0.0,1,4.5,1,1,5.3,2.66,11,0.0,0.0,50.1,63,63.5,73.7,5.3,1,1.5,3,4.1,2,2,6.6,2.54,20,20.0,5.8,74.6,25,32.0,56.3,3.6,0,0.0,2,5.9,1,1,7.7,3.5,31,12.9,12.9,40.3,57,71.9,76.8,5.4,1,1.7,2,3.3,2,2,6.0,2.08,0,,0.0,81.5
Tony Muskett,142933,QB,VIRGINIA,7,90,26,76.9,84.0,11.3,1,3.6,0,0.0,0,3,6.6,2.06,10,20.0,7.1,151.6,51,49.0,61.2,4.9,2,3.5,4,5.9,3,0,10.9,2.98,21,23.8,8.1,39.0,23,34.8,55.0,2.8,1,4.2,3,9.4,2,1,10.3,3.12,31,22.6,22.6,21.8,54,68.5,74.1,8.9,2,3.3,1,1.5,1,2,9.2,2.47,0,,0.0,100.8
Jadyn Glasser,184670,QB,C MICHIGAN,4,89,27,59.3,78.3,5.0,0,0.0,2,5.9,2,2,7.4,2.21,17,23.5,12.5,66.1,49,51.0,61.7,6.2,2,3.8,4,6.6,2,0,13.1,2.84,20,30.0,10.5,53.4,26,50.0,66.7,5.5,1,3.6,2,5.0,0,0,8.5,3.08,37,24.3,24.3,66.5,50,56.0,67.3,5.9,1,1.9,4,7.3,4,2,12.4,2.28,0,,1.9,53.5
AJ Hairston,184157,QB,UMASS,4,89,40,55.0,70.6,7.4,0,0.0,1,2.0,0,5,8.7,2.58,15,26.7,8.9,118.4,33,54.5,61.3,5.5,1,2.7,1,2.1,0,0,10.9,2.99,11,27.3,6.8,70.6,14,35.7,50.0,4.9,0,0.0,2,6.9,0,1,9.2,3.61,26,26.9,26.9,75.9,59,59.3,69.1,7.0,1,1.6,0,0.0,0,4,9.9,2.44,0,,0.0,103.2
Jacurri Brown,156344,QB,UCF,6,87,18,33.3,37.5,3.5,0,0.0,2,8.0,2,0,7.6,2.89,12,16.7,8.0,4.9,50,58.0,65.2,6.7,3,6.0,2,3.2,2,1,13.6,3.17,14,21.4,4.8,68.3,12,16.7,22.2,2.2,0,0.0,1,3.8,1,0,10.9,4.06,26,19.2,19.2,4.9,56,58.9,64.2,6.6,3,5.4,3,4.9,3,1,12.3,2.68,0,,0.0,62.5
T.J. Finley,124093,QB,W KENTUCKY,3,85,19,63.2,83.3,5.5,0,0.0,0,0.0,0,1,6.4,2.64,6,0.0,0.0,95.3,58,65.5,75.5,6.7,1,1.7,3,4.6,2,0,7.3,2.14,12,16.7,3.1,70.4,12,58.3,80.0,7.3,0,0.0,1,5.6,1,1,8.7,3.45,18,11.1,11.1,74.0,65,66.2,77.0,6.3,1,1.5,2,2.9,1,0,6.8,1.94,0,,0.0,77.0
Tyler Jefferson,171233,QB,C MICHIGAN,7,84,15,40.0,54.5,5.1,1,5.6,3,9.4,0,0,17.9,3.38,18,22.2,13.8,56.8,43,48.8,52.4,4.9,1,2.2,3,5.2,1,0,14.2,2.93,17,23.5,7.3,53.3,17,41.2,46.7,5.4,2,10.5,3,7.9,0,0,18.3,3.8,35,22.9,22.9,58.9,41,48.8,55.3,4.7,0,0.0,3,5.8,1,0,13.6,2.58,0,,0.0,52.3
Jack Turner,162969,QB,LA TECH,6,83,26,46.2,56.5,2.8,0,0.0,2,6.7,2,0,5.7,2.56,10,10.0,3.4,21.0,50,56.0,66.0,8.0,4,8.0,3,5.6,0,2,8.7,2.41,9,33.3,5.6,95.3,14,28.6,45.5,2.6,0,0.0,3,15.0,2,0,3.8,3.04,19,21.1,21.1,0.0,62,58.1,66.1,7.0,4,6.5,2,3.1,0,2,8.4,2.29,0,,0.0,90.4
William Watson III,174771,QB,VA TECH,3,83,24,54.2,56.5,7.9,1,4.0,3,7.5,1,1,13.1,3.07,26,30.8,20.5,76.7,34,61.8,73.3,8.6,2,5.4,1,2.1,1,0,11.0,3.35,15,40.0,13.6,77.0,18,50.0,56.3,8.8,1,5.3,2,4.7,0,1,14.2,3.93,41,34.1,34.1,99.1,40,62.5,70.3,8.1,2,4.7,2,4.4,2,0,10.9,2.53,0,,0.0,66.9
Kasen Weisman,171910,QB,FAU,5,83,34,50.0,69.0,6.0,2,5.7,1,2.4,1,2,8.9,3.47,19,5.3,2.4,76.0,40,55.0,65.7,5.3,2,4.7,4,8.7,2,0,10.5,3.56,20,0.0,0.0,49.3,33,36.4,56.5,3.5,1,2.9,4,9.8,3,1,10.4,4.36,39,2.6,2.6,19.3,41,65.9,73.2,7.3,3,7.0,1,2.1,0,1,9.4,2.77,0,,0.0,95.6
Micah Alejado,184162,QB,HAWAII,3,82,34,58.8,71.0,7.8,0,0.0,0,0.0,0,4,10.9,2.77,8,37.5,7.7,122.9,36,80.6,82.9,8.9,2,5.6,0,0.0,0,2,8.3,2.69,7,0.0,0.0,122.1,6,16.7,33.3,1.8,0,0.0,0,0.0,0,0,6.7,5.27,15,20.0,20.0,39.6,64,75.0,79.4,9.0,2,3.1,0,0.0,0,6,9.7,2.16,0,,0.0,133.2
John Alan Richter,156999,QB,TOLEDO,5,81,18,50.0,62.5,5.0,0,0.0,0,0.0,0,1,10.5,2.53,7,0.0,0.0,83.1,50,68.0,77.6,8.1,4,7.3,1,1.5,0,3,10.0,2.94,21,23.8,8.2,112.7,17,58.8,71.4,12.2,2,11.1,1,3.4,0,1,16.1,3.73,28,17.9,17.9,121.7,51,64.7,74.5,5.7,2,3.6,0,0.0,0,3,8.5,2.36,0,,0.0,99.2
Cade McConnell,73935,QB,UTEP,4,81,17,58.8,68.8,8.4,0,0.0,2,9.1,1,2,4.3,1.8,8,12.5,5.3,100.6,54,55.6,72.2,7.4,5,8.9,5,7.7,2,2,8.7,2.76,16,25.0,6.5,76.0,14,35.7,53.8,8.6,1,6.3,3,11.1,1,0,12.5,3.44,24,20.8,20.8,37.8,57,61.4,75.4,7.4,4,6.7,4,6.7,2,4,6.6,2.15,0,,0.0,92.7
Brendan Sullivan,145034,QB,IOWA,6,81,18,61.1,87.5,7.8,0,0.0,0,0.0,0,2,6.2,3.16,10,20.0,9.5,122.5,36,75.0,80.0,9.3,2,5.4,5,8.2,3,1,5.7,3.45,22,27.3,10.0,77.8,15,46.7,58.3,8.5,1,5.9,4,11.8,3,0,9.7,4.52,32,25.0,25.0,36.9,39,79.5,89.7,8.9,1,2.5,1,2.0,0,3,4.7,2.63,0,,0.0,129.3
Jase Bauer,145714,QB,SM HOUSTON,7,81,22,54.5,70.0,5.8,2,8.7,1,3.8,1,2,7.8,2.36,7,0.0,0.0,83.1,43,65.1,81.1,4.1,0,0.0,0,0.0,0,0,6.9,3.0,23,17.4,7.1,73.4,21,52.4,70.6,3.9,0,0.0,0,0.0,0,0,4.8,3.58,30,13.3,13.3,61.8,44,65.9,80.0,5.1,2,4.3,1,1.9,1,2,8.2,2.35,0,,0.0,83.8
Zach Pyron,156309,QB,GA TECH,5,80,26,61.5,73.9,6.8,0,0.0,1,3.7,1,2,6.7,2.26,7,0.0,0.0,91.3,41,46.3,65.7,5.7,1,2.4,4,7.4,2,0,9.2,2.99,16,25.0,7.4,44.0,14,14.3,50.0,1.6,1,6.7,0,0.0,0,1,17.8,3.8,23,17.4,17.4,63.4,53,62.3,72.0,7.3,0,0.0,5,8.8,3,1,6.7,2.33,0,,0.0,67.0
Aaron Philo,183222,QB,GA TECH,4,79,20,50.0,52.6,9.5,3,15.0,0,0.0,0,1,16.2,2.36,6,0.0,0.0,100.0,54,51.9,68.6,6.9,4,7.4,1,1.7,2,0,12.6,2.97,15,0.0,0.0,58.8,18,33.3,40.0,7.3,2,11.1,0,0.0,0,0,17.3,3.37,21,0.0,0.0,60.2,56,57.1,70.9,7.8,5,8.9,1,1.7,2,1,12.6,2.61,0,,0.0,73.1
Maealiuaki Smith,183921,QB,OKLA STATE,4,79,31,54.8,63.3,6.5,1,2.9,2,5.6,1,0,9.1,2.14,9,22.2,6.1,61.2,44,61.4,66.7,6.5,1,2.1,3,6.0,3,2,7.7,2.39,8,25.0,4.3,67.1,14,21.4,36.4,3.0,1,6.3,1,5.3,1,0,10.6,2.65,17,17.6,17.6,9.8,61,67.2,70.5,7.3,1,1.5,4,6.0,3,2,7.8,2.19,0,,1.6,78.9
Tyriq Starks,156514,QB,FAU,4,77,22,63.6,71.4,5.9,0,0.0,2,7.1,1,2,7.5,2.89,11,27.3,11.5,90.9,41,61.0,73.0,10.3,0,0.0,2,3.8,1,4,5.8,2.91,22,9.1,3.9,118.1,23,39.1,47.4,6.4,0,0.0,2,5.7,1,2,10.5,3.67,33,15.2,15.2,72.4,40,75.0,84.6,10.1,0,0.0,2,4.3,1,4,4.4,2.33,0,,0.0,129.5
Goose Crowder,144781,QB,TROY,4,77,19,73.7,93.8,7.8,0,0.0,0,0.0,0,2,6.6,3.02,12,8.3,4.3,131.3,44,65.9,79.1,9.0,5,10.9,2,3.3,0,3,9.2,2.99,14,14.3,3.7,117.4,15,40.0,63.6,5.3,1,6.3,2,6.5,0,1,15.0,3.76,26,11.5,11.5,79.9,48,77.1,87.5,9.7,4,8.2,0,0.0,0,4,7.0,2.61,0,,0.0,134.6
Gunner Stockton,157072,QB,GEORGIA,4,76,24,70.8,73.9,4.9,0,0.0,1,3.3,1,0,3.1,2.57,12,16.7,6.9,64.2,40,70.0,80.6,8.1,2,4.8,2,4.1,0,1,10.3,2.68,19,26.3,10.6,102.3,21,52.4,70.6,7.2,2,9.1,2,6.3,1,0,10.9,3.19,31,22.6,22.6,55.9,43,79.1,81.0,6.7,0,0.0,1,2.1,0,1,6.1,2.25,0,,0.0,102.4
MJ Morris,157404,QB,MARYLAND,6,75,17,47.1,64.3,4.1,0,0.0,3,13.6,3,1,9.3,2.52,10,30.0,13.6,38.5,44,63.6,72.1,6.4,3,6.3,1,1.7,2,4,8.3,2.56,21,28.6,11.3,93.0,19,26.3,41.2,2.4,0,0.0,3,8.8,3,1,10.8,2.96,31,29.0,29.0,17.5,42,73.8,82.5,7.3,3,6.8,1,2.2,2,4,7.6,2.26,0,,0.0,105.8
Nicco Marchiol,157363,QB,W VIRGINIA,7,75,10,80.0,80.0,11.2,1,10.0,0,0.0,0,1,10.1,2.79,6,33.3,14.3,146.7,46,63.0,73.3,7.0,4,7.8,4,6.1,2,4,9.9,3.37,15,40.0,9.8,94.7,8,50.0,71.4,2.1,0,0.0,0,0.0,0,0,9.1,4.1,21,38.1,38.1,56.3,48,68.8,75.0,8.7,5,9.6,4,6.9,2,5,10.0,2.93,0,,0.0,112.9
Tyler Van Dyke,122225,QB,WISCONSIN,3,74,24,70.8,75.0,9.0,2,7.7,0,0.0,0,1,9.3,2.83,7,14.3,3.8,112.7,44,59.1,71.8,4.7,0,0.0,1,2.0,0,0,5.7,2.95,12,25.0,6.3,70.7,14,35.7,50.0,4.9,2,12.5,1,4.8,0,0,9.8,4.12,19,15.8,15.8,52.1,54,70.4,77.4,6.6,0,0.0,0,0.0,0,1,6.5,2.49,0,,1.8,94.2
Cameron Rising,77663,QB,UTAH,3,74,20,65.0,73.7,10.6,0,0.0,1,4.5,0,5,11.3,2.43,5,0.0,0.0,140.0,46,45.7,58.1,7.5,1,2.1,3,5.4,3,2,9.5,3.05,16,18.8,5.6,58.5,17,35.3,53.8,4.7,0,0.0,2,8.7,1,0,10.2,3.39,21,14.3,14.3,26.6,49,57.1,65.3,9.7,1,2.0,2,3.6,2,7,10.0,2.68,0,,0.0,112.7
Mike Wright,124366,QB,NWESTERN,3,72,22,59.1,65.0,5.5,1,4.3,3,10.3,1,0,8.5,3.1,9,0.0,0.0,55.3,44,56.8,69.2,5.3,1,2.2,1,2.1,0,0,10.1,2.57,11,0.0,0.0,71.5,17,29.4,45.5,2.8,0,0.0,3,13.0,0,0,15.8,3.86,20,0.0,0.0,39.6,49,67.3,72.9,6.3,2,4.0,1,1.9,1,0,8.1,2.35,0,,0.0,75.8
Collin Schlee,98025,QB,VA TECH,6,71,20,55.0,60.0,9.2,1,4.5,2,6.1,0,1,11.4,3.09,15,20.0,10.7,102.9,34,47.1,63.6,6.6,1,2.8,1,2.2,1,2,12.1,3.16,16,18.8,7.0,76.1,15,40.0,50.0,7.5,1,5.9,2,5.4,0,1,15.1,4.21,31,19.4,19.4,88.8,39,53.8,66.7,7.6,1,2.4,1,2.4,1,2,10.6,2.3,0,,0.0,85.0
JP Pickles,183996,QB,UTEP,3,69,16,37.5,46.2,3.6,0,0.0,1,5.3,0,0,13.7,2.73,10,20.0,11.1,48.4,36,63.9,78.1,4.3,1,2.7,1,1.9,1,0,5.8,3.0,15,26.7,7.8,61.7,14,35.7,66.7,3.1,0,0.0,1,3.8,0,0,9.3,3.74,25,24.0,24.0,44.6,38,63.2,69.4,4.5,1,2.6,1,2.2,1,0,7.7,2.47,0,,0.0,62.4
Tucker Kilcrease,156863,QB,TROY,6,69,20,50.0,55.6,5.1,0,0.0,1,3.7,0,0,11.2,2.79,15,33.3,18.5,64.8,31,58.1,64.3,8.9,3,9.1,3,6.7,1,3,12.1,3.18,19,15.8,7.1,106.4,17,29.4,41.7,4.5,1,5.6,1,2.8,0,0,16.1,3.81,34,23.5,23.5,45.7,34,67.6,67.6,8.9,2,5.7,3,8.3,1,3,10.2,2.25,0,,0.0,112.5
Will Hammond,184898,QB,TEXAS TECH,4,66,25,64.0,73.9,8.9,3,11.5,0,0.0,0,2,7.2,2.11,5,20.0,3.4,119.1,31,58.1,66.7,8.3,0,0.0,4,10.8,2,0,10.5,2.81,7,28.6,5.4,58.3,8,50.0,57.1,7.8,1,12.5,1,8.3,1,1,18.1,3.53,12,16.7,16.7,76.0,48,62.5,71.7,8.7,2,4.1,3,5.4,1,1,7.7,2.28,0,,1.9,88.7
Justin Lamson,144052,QB,STANFORD,8,66,30,53.3,64.3,8.2,5,16.1,3,7.9,2,4,15.4,2.76,18,22.2,10.8,92.4,17,52.9,56.3,3.2,0,0.0,1,3.1,0,0,11.4,3.81,14,64.3,31.0,59.7,15,46.7,61.5,6.1,2,13.3,2,6.1,1,1,13.2,3.86,32,40.6,40.6,60.7,32,56.3,61.3,6.5,3,8.6,2,5.4,1,3,14.3,2.62,0,,0.0,94.4
Trexler Ivey,122184,QB,CHARLOTTE,4,63,26,38.5,43.5,3.6,0,0.0,3,9.7,2,0,6.1,2.21,4,0.0,0.0,17.1,33,72.7,77.4,7.0,2,5.9,0,0.0,0,3,8.4,2.42,7,28.6,5.4,122.3,8,12.5,33.3,2.4,0,0.0,1,8.3,1,0,16.7,3.36,11,18.2,18.2,0.0,51,64.7,64.7,6.0,2,3.6,2,3.5,1,3,6.8,2.11,0,,0.0,92.5
Jack Tuttle,83580,QB,MICHIGAN,2,62,16,56.3,64.3,6.0,1,5.9,2,10.5,0,1,9.3,2.53,6,0.0,0.0,94.8,34,61.8,65.6,6.2,0,0.0,4,9.1,2,0,6.2,3.16,18,33.3,13.6,54.8,12,41.7,55.6,3.2,0,0.0,3,12.5,0,1,7.2,3.78,24,25.0,25.0,77.8,38,65.8,67.6,7.1,1,2.6,3,7.7,2,0,7.1,2.48,0,,0.0,64.4
Alex Orji,158545,QB,MICHIGAN,7,61,23,56.5,65.0,3.2,0,0.0,0,0.0,0,1,6.6,2.62,12,25.0,10.3,77.1,24,50.0,59.1,3.2,0,0.0,3,9.1,2,2,7.9,3.41,16,0.0,0.0,50.0,17,29.4,35.7,2.6,0,0.0,3,10.3,2,0,12.5,3.81,28,10.7,10.7,0.0,30,66.7,75.0,3.5,0,0.0,0,0.0,0,3,4.7,2.38,0,,0.0,105.7
Quentin Hayes,186423,QB,AIR FORCE,8,61,25,64.0,73.9,10.6,2,7.4,1,2.6,2,3,9.7,2.78,17,35.3,16.7,105.8,18,50.0,58.8,10.6,2,9.1,1,3.3,0,0,15.4,3.4,9,44.4,16.0,87.7,13,61.5,72.7,8.0,1,5.9,2,6.5,2,0,11.8,3.27,26,38.5,38.5,47.1,30,56.7,65.5,11.7,3,9.4,0,0.0,0,3,12.2,2.86,0,,0.0,131.4
Matthew Sluka,143059,QB,UNLV,3,61,17,52.9,58.8,3.7,1,5.6,1,5.0,1,3,11.2,2.65,8,12.5,5.3,76.7,31,38.7,46.7,8.2,5,15.2,2,4.5,0,3,21.2,3.5,16,31.3,11.9,100.9,14,35.7,46.2,4.4,1,6.7,2,8.0,1,1,15.0,3.99,24,25.0,25.0,44.0,34,47.1,52.9,7.6,5,13.9,1,2.6,0,5,18.6,2.75,0,,0.0,112.4
Elijah Brown,183276,QB,STANFORD,3,61,9,55.6,75.0,6.4,0,0.0,1,6.7,0,1,10.0,2.31,6,50.0,25.0,112.3,39,59.0,69.2,5.5,2,4.9,3,5.9,3,1,7.8,2.74,24,20.8,10.2,50.8,18,50.0,64.7,5.9,1,5.0,2,6.3,1,1,9.4,3.44,30,23.3,23.3,63.7,30,63.3,73.3,5.6,1,3.0,2,5.9,2,1,7.5,1.9,0,,3.2,61.5
Cutter Boley,184630,QB,KENTUCKY,4,61,16,43.8,50.0,4.2,1,5.9,0,0.0,1,2,16.0,2.57,8,37.5,15.8,69.5,37,51.4,60.0,7.3,1,2.5,6,13.3,3,0,12.1,3.13,18,22.2,9.5,41.6,18,38.9,46.7,5.1,2,9.1,5,16.1,2,0,9.9,3.35,26,26.9,26.9,16.2,35,54.3,61.8,7.0,0,0.0,1,2.9,2,2,14.6,2.66,0,,0.0,71.8
Nick Poulos,188474,QB,OHIO,5,60,12,16.7,50.0,2.5,1,7.7,0,0.0,0,0,12.2,2.81,7,14.3,6.7,39.6,37,54.1,60.0,6.5,1,2.4,2,4.0,1,2,10.6,2.99,17,11.8,4.4,81.0,18,33.3,58.3,3.3,0,0.0,0,0.0,0,0,9.7,3.15,24,12.5,12.5,43.5,31,51.6,58.6,6.8,2,5.7,2,5.0,1,2,11.3,2.81,0,,0.0,81.7
Preston Stone,124716,QB,SMU,6,60,21,66.7,78.9,6.9,0,0.0,0,0.0,0,0,4.8,2.42,8,25.0,8.3,86.2,32,56.3,63.3,8.8,4,11.4,2,5.1,1,5,15.8,3.21,10,10.0,2.8,112.0,12,50.0,60.0,9.7,1,7.1,1,5.0,0,0,12.0,3.79,18,16.7,16.7,84.0,41,63.4,71.8,7.5,3,7.0,1,2.3,1,5,11.4,2.5,0,,0.0,115.7
Noah Kim,129623,QB,COAST CAR,7,60,15,66.7,66.7,8.8,1,5.6,0,0.0,0,2,8.8,1.89,3,0.0,0.0,133.9,41,48.8,59.5,4.9,1,2.4,2,4.4,1,2,9.7,2.58,11,27.3,6.7,69.3,10,30.0,37.5,3.3,1,10.0,1,7.1,0,1,8.9,3.05,14,21.4,21.4,74.2,46,58.7,65.9,6.5,1,2.0,1,2.0,1,3,9.5,2.21,0,,0.0,90.9
General Booty,71008,QB,LA MONROE,5,60,23,47.8,68.4,5.2,0,0.0,2,6.9,2,1,5.2,2.42,8,37.5,11.5,41.9,32,56.3,77.8,5.8,0,0.0,1,2.9,0,1,7.7,2.55,9,22.2,5.9,83.6,12,16.7,66.7,1.1,0,0.0,0,0.0,0,0,2.0,3.3,17,29.4,29.4,39.6,43,62.8,75.0,6.8,0,0.0,3,6.8,2,2,7.4,2.17,0,,0.0,78.9
Aidan Warner,177520,QB,FLORIDA,4,57,17,41.2,61.5,4.7,0,0.0,0,0.0,0,0,8.3,2.72,11,18.2,10.5,56.0,35,40.0,44.1,4.2,2,5.7,2,5.3,3,0,9.1,2.99,7,28.6,5.3,17.3,14,35.7,45.5,4.9,0,0.0,0,0.0,1,0,8.0,3.62,18,22.2,22.2,22.6,38,42.1,50.0,4.2,2,5.3,2,5.1,2,0,9.1,2.57,0,,0.0,32.7
Drew Mestemaker,190616,QB,N TEXAS,4,54,7,57.1,66.7,14.4,0,0.0,2,20.0,0,1,11.5,3.1,4,25.0,11.1,141.4,40,65.0,72.5,9.0,1,2.4,1,2.1,2,1,9.1,2.68,16,18.8,6.7,81.4,13,53.8,66.7,7.1,0,0.0,1,4.8,0,0,12.3,3.98,20,20.0,20.0,76.4,34,67.6,73.5,10.9,1,2.8,2,5.6,2,2,8.4,2.02,0,,0.0,98.9
Zevi Eckhaus,148535,QB,WASH STATE,2,52,6,83.3,83.3,19.3,0,0.0,1,14.3,1,2,6.2,2.1,0,,0.0,118.8,44,72.7,79.1,7.0,2,4.3,3,6.1,1,2,9.7,2.76,7,14.3,2.2,97.5,5,20.0,25.0,8.4,0,0.0,2,25.0,1,1,20.3,5.17,7,14.3,14.3,62.1,45,80.0,84.4,8.5,2,4.2,2,4.2,1,3,8.3,2.29,0,,0.0,115.0
Ruel Tomlinson,188241,QB,KENT STATE,4,52,15,40.0,57.1,3.5,0,0.0,0,0.0,0,0,6.3,2.53,11,63.6,30.4,49.9,14,28.6,61.5,1.3,0,0.0,2,6.9,2,0,10.5,3.19,11,36.4,13.8,0.0,5,0.0,20.0,0.0,0,0.0,0,0.0,0,0,14.6,3.7,22,50.0,50.0,39.6,24,41.7,68.2,2.9,0,0.0,2,6.7,2,0,6.9,2.31,0,,0.0,14.6
Javance Tupou'ata-Johnson,175766,QB,S DIEGO ST,3,51,11,72.7,72.7,8.3,0,0.0,1,6.3,0,2,7.4,2.9,9,11.1,7.1,136.7,28,42.9,53.6,4.7,1,3.3,4,10.0,2,0,12.3,3.17,12,33.3,10.8,27.5,13,38.5,46.2,5.6,0,0.0,4,18.2,2,2,12.3,3.69,21,23.8,23.8,57.5,26,57.7,65.4,5.7,1,3.4,1,2.9,0,0,10.2,2.68,0,,0.0,74.0
Michael Kern,97799,QB,WAKE,5,51,16,43.8,53.3,5.7,0,0.0,1,5.3,0,0,12.3,2.95,8,12.5,5.6,62.2,29,58.6,67.9,6.8,5,16.1,3,8.6,3,1,10.9,2.85,11,27.3,9.1,51.1,13,61.5,66.7,8.8,1,6.7,3,14.3,1,0,10.6,3.52,19,21.1,21.1,58.2,32,50.0,61.3,5.4,4,12.1,1,3.0,2,1,11.7,2.51,0,,0.0,50.7
Dequan Finn,97804,QB,BAYLOR,2,50,15,40.0,46.7,7.7,0,0.0,1,5.0,1,3,12.3,3.18,6,16.7,5.6,79.4,28,60.7,66.7,6.8,1,3.2,2,5.7,1,0,8.8,3.15,13,23.1,9.4,66.2,13,46.2,50.0,6.3,0,0.0,1,4.5,1,2,11.0,4.26,19,21.1,21.1,74.4,30,56.7,63.3,7.5,1,3.1,2,6.1,1,1,9.7,2.49,0,,0.0,77.8
Henry Belin IV,162693,QB,DUKE,2,47,9,33.3,37.5,3.8,0,0.0,1,10.0,1,1,15.0,3.12,10,0.0,0.0,43.1,36,63.9,67.6,5.8,0,0.0,1,2.6,0,1,7.3,2.78,13,0.0,0.0,88.8,21,33.3,36.8,3.5,0,0.0,2,8.3,1,1,12.3,3.5,23,0.0,0.0,40.4,24,79.2,82.6,7.1,0,0.0,0,0.0,0,1,5.9,2.24,0,,0.0,110.1
